index,RegionID,RegionName,SizeRank,RegionType,StateRegionID,StateName,MSARegionID,MSA,CountyRegionID,CountyName,CityRegionID,City,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1
12,394976,"Phoenix, AZ",12,Metro,8.0,AZ,394976.0,Phoenix,,,,,0.580313534,0.580713378,0.578142852,0.555393376,0.516307523,0.454664375,0.403860295,0.35896336,0.312676803,0.249589377,0.222216742,0.226802183,0.220725692,0.217352484,0.205978711,0.189566966,0.182121913,0.164360174,0.151735911782504,0.141456682751648,0.12636850352247,0.111939067469913,0.106979622662228,0.105845499781153
13,395078,"Seattle, WA",13,Metro,59.0,WA,395078.0,Seattle,,,,,0.360641187,0.361183933,0.383990152,0.396322759,0.377737665,0.342343818,0.334822284,0.312204913,0.280421372,0.218550768,0.201847965,0.208840351,0.18136196,0.161940191,0.15580092,0.146209467,0.119375367,0.101525036,0.0954474543158703,0.0921429608184568,0.0737703480948114,0.0657614703047382,0.0656307517059432,0.0647115677829374
14,394865,"Minneapolis-St Paul, MN",14,Metro,31.0,MN,394865.0,Minneapolis-St Paul,,,,,0.398432824,0.386936214,0.38870168,0.398777796,0.387388402,0.354673945,0.346037614,0.303193703,0.266344585,0.210537081,0.186252645,0.193321548,0.168888524,0.155787194,0.154802419,0.140815474,0.132254629,0.117404184,0.104979799063394,0.0980092183810156,0.0889502986893061,0.0733673583642672,0.0726842850024664,0.0717634697123666
15,395056,"San Diego, CA",15,Metro,9.0,CA,395056.0,San Diego,,,,,0.323267525,0.331782088,0.351887295,0.355608668,0.338983293,0.305542851,0.283137543,0.247215075,0.210452246,0.147413427,0.131218815,0.125803609,0.116301267,0.101041297,0.089423667,0.085816323,0.085699118,0.08095961,0.0785948149138046,0.0753810879084989,0.0706483848477806,0.0627521320788686,0.0614782711788495,0.0620227311599331
16,395121,"St. Louis, MO",16,Metro,32.0,MO,395121.0,St. Louis,,,,,0.304324,0.301038939,0.310790141,0.306515189,0.301978837,0.279538076,0.26924169,0.264150593,0.266277806,0.242818917,0.238241115,0.229282228,0.22857706,0.227058209,0.227523291,0.203802036,0.1875494,0.175616545,0.170158205234884,0.160310176546037,0.147428015148255,0.125595124000281,0.122358957878162,0.124155172512901
17,395148,"Tampa, FL",17,Metro,14.0,FL,395148.0,Tampa,,,,,0.48138892,0.483999941,0.481678839,0.482548543,0.466258664,0.432283402,0.415139113,0.392919388,0.363136305,0.319961399,0.286293139,0.270566401,0.235079479,0.219582682,0.212264447,0.191545256,0.175558789,0.156522924,0.147376877536875,0.138457684362919,0.121141952483042,0.104773169188049,0.0938227438738511,0.0901832206722978
18,394358,"Baltimore, MD",18,Metro,27.0,MD,394358.0,Baltimore,,,,,0.306316659,0.29820931,0.298581375,0.313552943,0.308020973,0.280680958,0.277074097,0.271422939,0.263280549,0.230393417,0.223034943,0.226557954,0.205990744,0.200550166,0.202565937,0.186814313,0.178317601,0.169206545,0.17350283457899,0.172425115115517,0.16709493148263,0.144267155232827,0.139778292456586,0.138471773468114
19,394530,"Denver, CO",19,Metro,10.0,CO,394530.0,Denver,,,,,0.325316761,0.306663652,0.301801839,0.290385427,0.270658543,0.221769037,0.199552346,0.169266927,0.153418204,0.119389279,0.106314387,0.108457453,0.086259755,0.08192849,0.076554277,0.067096823,0.060467478,0.054523691,0.0547154851340338,0.0548210219288198,0.0475694229144345,0.04387058249141,0.0448117645292631,0.0475260803250474
20,394982,"Pittsburgh, PA",20,Metro,47.0,PA,394982.0,Pittsburgh,,,,,0.174529695,0.16546576,0.160605336,0.166999695,0.155876438,0.143290572,0.140117607,0.13218344,0.12754566,0.120953546,0.113446746,0.11240329,0.111778536,0.107470488,0.120834976,0.108644397,0.101933965,0.097613433,0.0963238331067119,0.0952636943049795,0.0920271280053304,0.0806999899500784,0.0825659599230499,0.0788184129633388
21,394998,"Portland, OR",21,Metro,46.0,OR,394998.0,Portland,,,,,0.336980961,0.329188319,0.343350298,0.34336166,0.331941069,0.293116738,0.280379895,0.255031824,0.222725065,0.16909009,0.151701394,0.149114425,0.126614823,0.111790571,0.108827041,0.092620393,0.074858556,0.061620938,0.0560818470083182,0.0516857391932694,0.0423062787058906,0.0377524462567104,0.0402157627376955,0.0415495912171552
